scenario,strategy,regime_gate,hedge_mode,backtest_scope_yr,backtest_start,backtest_end,train_window_days,test_window_days,step_days,fold_index,train_start,train_end,test_start,test_end,n_trades,metric_sharpe,metric_max_drawdown,metric_win_rate,final_cash,final_unrealised,error
HedgedIC_vanilla,HedgedIC,vanilla,calendar,5yr,2021-04-01,2026-04-28,252,63,63,10,2023-10-31,2024-11-13,2024-11-14,2025-02-20,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_vanilla,HedgedIC,vanilla,calendar,5yr,2021-04-01,2026-04-28,252,63,63,11,2024-01-29,2025-02-20,2025-02-21,2025-05-26,1,-1.6491570575640961,-0.004975,0.0,998615.0,0.0,
HedgedIC_vanilla,HedgedIC,vanilla,calendar,5yr,2021-04-01,2026-04-28,252,63,63,12,2024-05-10,2025-05-26,2025-05-27,2025-08-22,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_vanilla,HedgedIC,vanilla,calendar,5yr,2021-04-01,2026-04-28,252,63,63,13,2024-08-12,2025-08-22,2025-08-25,2025-11-25,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_vanilla,HedgedIC,vanilla,calendar,5yr,2021-04-01,2026-04-28,252,63,63,14,2024-11-14,2025-11-25,2025-11-26,2026-03-13,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,0,2021-04-01,2022-04-13,2022-04-14,2022-07-13,1,-1.9924713244097678,-0.0066875,0.0,997125.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,1,2021-07-05,2022-07-13,2022-07-14,2022-10-12,2,-1.7588097212841873,-0.00835157242975949,0.5,997525.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,2,2021-10-04,2022-10-12,2022-10-13,2023-01-10,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,3,2022-01-03,2023-01-10,2023-01-11,2023-04-26,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,4,2022-04-14,2023-04-26,2023-04-27,2023-07-27,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,5,2022-07-14,2023-07-27,2023-07-28,2023-10-30,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,6,2022-10-13,2023-10-30,2023-10-31,2024-01-26,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,7,2023-01-11,2024-01-26,2024-01-29,2024-05-09,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,8,2023-04-27,2024-05-09,2024-05-10,2024-08-09,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,9,2023-07-28,2024-08-09,2024-08-12,2024-11-13,1,-2.349123951405555,-0.0094125,0.0,991950.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,10,2023-10-31,2024-11-13,2024-11-14,2025-02-20,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,11,2024-01-29,2025-02-20,2025-02-21,2025-05-26,1,-1.6491570575640961,-0.004975,0.0,998615.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,12,2024-05-10,2025-05-26,2025-05-27,2025-08-22,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,13,2024-08-12,2025-08-22,2025-08-25,2025-11-25,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_IV_percentile,HedgedIC,IV_percentile,calendar,5yr,2021-04-01,2026-04-28,252,63,63,14,2024-11-14,2025-11-25,2025-11-26,2026-03-13,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,0,2021-04-01,2022-04-13,2022-04-14,2022-07-13,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,1,2021-07-05,2022-07-13,2022-07-14,2022-10-12,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,2,2021-10-04,2022-10-12,2022-10-13,2023-01-10,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,3,2022-01-03,2023-01-10,2023-01-11,2023-04-26,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,4,2022-04-14,2023-04-26,2023-04-27,2023-07-27,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,5,2022-07-14,2023-07-27,2023-07-28,2023-10-30,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,6,2022-10-13,2023-10-30,2023-10-31,2024-01-26,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,7,2023-01-11,2024-01-26,2024-01-29,2024-05-09,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,8,2023-04-27,2024-05-09,2024-05-10,2024-08-09,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,9,2023-07-28,2024-08-09,2024-08-12,2024-11-13,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,10,2023-10-31,2024-11-13,2024-11-14,2025-02-20,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,11,2024-01-29,2025-02-20,2025-02-21,2025-05-26,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,12,2024-05-10,2025-05-26,2025-05-27,2025-08-22,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,13,2024-08-12,2025-08-22,2025-08-25,2025-11-25,0,0.0,0.0,0.0,1000000.0,0.0,
HedgedIC_HMM,HedgedIC,HMM,calendar,5yr,2021-04-01,2026-04-28,252,63,63,14,2024-11-14,2025-11-25,2025-11-26,2026-03-13,0,0.0,0.0,0.0,1000000.0,0.0,
